,store_name,cmt,time_cmt,category
6482,Hương Rừng Buffet,"Món ăn đa dạng, chất lượng, nêm nếm không ngon lắm...
Hôm nay trường nhỏ bạn thân tổ chứng tiệc đầu năm cho giáo viên ăn buffet trưa ở Hương Rừng :D Nghe vậy mình cũng hí hử đu theo ăn. Tự mua vé vào 159k/vé cho xuất trưa. Sau khi vào nhìn các món trên khu buffet thì có một cảm nhận. Giá này với quy mô buffet thế này, thì khá là ok :D (Không có bị hớ )) )
Nhà hàng khá sang trọng, không gian lớn chưa thành nhiều sảnh như nhà hàng tiệc cưới. Mỗi sảnh đều ngăn bằng cửa kính ra vào khá riêng tư. Thoáng mát, rộng rãi sạch sẽ.
Sảnh đầu sau khi vào cổng chính là sảnh buffet, với rất nhiều món phong phú chia theo khu vực (Chay, mặn, hấp, nướng, chiên, khu gia vị, khu chế biến món nước, khu tráng miệng, khu nước uống...) Sắp xếp khá tiện lợi cho việc di chuyển lấy món.
Có cả tủ giữ nóng cho món chiên và hấp :D Không như những chỗ khác phải đợi châm, nếu để lâu thì nguội lạnh. Tủ khú to, để được nhiều món, dễ dùng tiện dụng. Các món đều nóng mới trông rất bắt mắt.
Các món chiên nóng giòn, vàng ươm gia vị thì tuỳ món có món ngon món bình thường. Món hấp cũng nóng mềm vừa tới, nhân nhiều thịt khá chất lượng, vị vừa ăn.
Các món nướng có hai dạng : Nướng tại chỗ (bò nướng, xúc xích...) thì có đầu bếp đứng phục vụ, nướng xong đưa ra dĩa lớn tự khách lấy. Loại hai là nướng phụ vụ tại bàn, khách order món còn sống trong tủ mát với nhân viên rồi đọc số bàn và sảnh. Nhân viên sẽ đem nướng sau đó mang tận bàn cho khách. Loại này thì có tẩm thêm gia vị là satế nhưng quá cay và mặn, nướng hình như bằng bếp điện nên hơi cháy đen, không cứng ko ngon lắm.
Món ăn có cả chay lẫn mặn, chia theo khu vực rõ ràng và khá phong phú về chủng loại.
Món chay ngon, vừa ăn.
Cơm chiên hạt cơm mềm, vàng ươm nhìn hấp dẫn nhưng hơn nhạt, nêm nếm ko ngon lắm.
Mì xào giòn vừa ăn, hải sản và rau xào kèm tươi ngon.
Tráng miệng phong phú.
Bán khọt và bánh xèo chiên tại chỗ nóng vàng giòn rất ngon :D Rau tươi xanh, nước chấm vừa ăn.
Mình đi bữa trưa nên hải sản không nhiều (Ko có cua ghẹ hay hào sống). Nên không bàn về hải sản :D (Để bữa sau đi buổi tối review riêng phần này).
Wifi free nhưng pass thì phải chạy khiến pvụ đưa pass cho bấm (Loại ko có pass full sóng mà ko dzô được nha).
Toilet nhỏ mỗi bên chỉ có 2 phòng (2 phòng nam, 2 phòng nữ) khi đông phải chạy lên lầu.
Giữ xe 3k/xe.
Xem thêm",8/08/2014 21:14,Buffet
5419,Parkview Buffet - New World Saigon Hotel,"Buffet trưa ngon
Mình đi hội nghị ở đây nên có dịp ăn thử buffet New World. Hỏi thăm thì biết giá ăn trưa là 550,000++/người, mức giá này thì rất ok đối với tiêu chuẩn 5 sao, không mắc
New world có vị trí quá tốt nên nhà hàng view rất đẹp. Nhân viên phục vụ nhiệt tình, niềm nở. Món ăn thì hơi ít món chính, số lượng gỏi và tráng miệng ok, số lượng món chính thì ít. Nêm nếm vừa miệng, theo mình thì khá chất lượng
Có món súp thì hơi mặn. Nói chung dù số lượng món ko nhiều nhưng bù lại nhân viên quá dễ thương nên cảm thấy rất hài lòng. Se quay lại ăn buffet tối thử",8/10/2017 9:36,Buffet
6725,Tajmasago Castle - Buffet & Cafe,"Uống trà chiều ở Tajmasago
Lần đầu tiên vào lâu đài trắng này. Từ 2-6pm hàng ngày có phục vụ trà chiều. Giá $15/người, khoảng hơn 300 ngàn. Mình thấy ngồi giờ 3:30-5pm là đẹp nhất, có thể ra khu vực phía ngoài ngắm hồ nước và hít thở không khí trong lành ở khu vực hồ bán nguyệt. Không gian thiết kế đẹp, sang trọng, lịch sự lắm.

Thực đơn trà chiều có 4, 5 loại trà, 4, 5 loại cà phê để phù hợp cho cả phái mạnh. Trà thì uống thoải mái, pha chế thơm ngon. Set đồ ăn nhẹ và đồ ngọt rất nhiều món, chất lượng rất ok. Có đủ loại từ cupcake, yoghurt, sweets, bánh kem... Ngồi nhâm nhi trà và ăn dessert thư giãn.

Phục vụ thân thiện, nhẹ nhàng.
Xem thêm",12/09/2014 9:32,
10807,Bà Bắc - Bánh Tráng Cuốn Trộn,"Quán ruột
Măm ở đây mấy lần rồi nay mới review
Chỗ này làm có vẻ chuyên nghiệp lắm nghen, có cả 1 đội ngũ làm luôn
Đặc sản ở đây là bánh tráng chiên. Mấy bạn ăn thử đi, bao ghiền 😋 vị lạ lẫm so với mấy chỗ khác mà không có chiên phồng lên đâu nha
Bánh tráng cuốn me thì bây giờ không bằng trước nữa. Sốt nhạt và lỏng hơn mà bên trong chủ yếu là hành phi nên ăn chán lắm 
Bánh tráng nướng cũng ngon lắm nha. Mấy bạn ghé thử nghen 😘
Chỗ này cũng dễ tìm nhưng nếu đi lần đầu không biết sẽ lạc không biết chỗ ra 😅
Xem thêm",8/05/2018 20:00,Bánh Tráng
1310,Chilli - Lẩu Nướng Tự Chọn,"Rất tuyệt vời
Hàu ở đây cực kỳ ngon. Ăn đã miệng mà giá rất ổn. Chất lượng rất ok. Mình đi 4 ng. Ăn no căng bụng nhưng bill chưa tới 800k. Sẽ ủng hộ Chilli dài dài nhé.",17/7/2019 13:39,
3924,Góc Đà Lạt - Ăn Vặt & Bánh Tráng Nướng,"Ngon😍
Mình chưa bao giờ ăn bánh tráng Đà Lạt nên nghe bảo ở đây bánh tráng nướng chuẩn Đà Lạt nên ghé ăn thử.
•Bánh tráng nướng các loại bự lắm, rất nhiều loại nhân ngon và rất đa dạng, giá cả rẻ, bánh tráng nướng rất giòn và đậm đà lắm. Nước và các món tráng miệng cũng nhiều nữa. 
Có món chè thạch thảo mộc thì mình thấy ăn được thôi chứ không phải ngon lắm, nên ăn nhanh nhanh vì đá tan ra hết ngon, bánh flan thì béo béo ok, còn khoai dẻo và sương sáo hơi cứng tí.",5/3/2018 23:58,Bánh Tráng
13077,Sorae Restaurant - Lounge,"Sorae Restaurant - Lounge
I went their with my friends. Food wad so amazing, good service and friendly staff. I like the atmosphere, its a really big place, good for couples, friends and family. 
【 https://www.foody*****nha-hang-sorae-sushi-sake-lounge 】",21/09/2023 10:25,
11480,Kem Miếng Dừa - Nguyễn Chí Thanh,"Kem Miếng Dừa -***
Kem dừa ngon tuyệt, mát lạnh ăn ghiền",8/09/2023 10:21,
9821,Trà Sữa Bòn Bon - Minh Phụng,"Hình ảnh chỉ mamg tính chất minh hoạ
Quán theo kiểu treo đầu dê bán thịt chó zay đó. Thấy clip làm dừa tuyết rất bắt mắt mà khi giao không biết nó là cái gì, ly socola sữa Bòn Bon nhìn thì bắt mắt mà khi nhận được hết muốn uống. Đó là chưa tính tới chuyện nước uống thì dở tệ. The mà vô bình luận thấy khen nức nở mình chắc tòn là bạn bè hay gia đình vô khen chứ gì nữa. Không bao giờ quay trở lại lần nữa. Quá tệ",29/10/2019 16:15,
4551,Cơm Gà Hải Nam - Hậu Giang,"Cơm Gà Hải Nam - Hậu Giang
Cơm gà ngon nhẤt từ trước tới giờ. Gà mềm, cơm dẻo, nước chấm ngon. 10 điểm ạ",30/9/2023 13:22,Cơm
6279,Isushi Buffet Nhật Bản - Trường Sơn,"Terrible service
The dumbfuck waitress will come and take your food if you stand up to walk your client outside to taxi.. even though most of it is still on your plate.. never coming back",7/09/2019 14:09,
11461,Kem Miếng Dừa - Nguyễn Chí Thanh,"Trải nghiệm
Kem ngon, dừa tươi, nước cũng rất thơm. Ăn và rất mát",14/09/2023 10:23,
11430,Kem Miếng Dừa - Nguyễn Chí Thanh,"Kem Miếng Dừa -***
Rất hài lòng",1/10/2023 10:22,
4075,Bready Bánh Mì Tươi - Burger Đĩa Bay - Bà Huyện Thanh Quan,"Giá hợp lí thức ăn tạm
Lâu lâu quay lại quán này 1 lần khi thấy thèm món bánh mì tươi thơm thơm đặc ruột mà mềm.
Thực đơn của quán chủ yếu là các món ăn cùng được với bánh mì, vài món cơm chiên mì xào khác. Nước uống cũng gồm những lựa chọn căn bản nước ép sinh tố cà phê. 
Thức ăn ở đây ăn thấy hợp khẩu vị mặc dù nguyên liệu và trình bày đều thuộc kiểu bình dân. Hơn nữa là món bánh mì được nướng lại chỗ.
Vừa xem còn có màn hình giới thiệu cách làm ra các loại bánh trong quán.
Giá cả rất phải chăng, ăn 2 người 2 phần ăn và 1 li nước hết 140k.",25/2/2017 23:23,Buffet
8346,Bánh Tráng Trộn Chú Viên,"BÁNH TRÁNG NGON
Thèm quá giống như mấy chục năm mới được ăn lại.
Ngon không tả nói, theo mình thì trộn vậy được rồi khỏi bỏ nước sốt vô bỏ vô mặn quá 
Bánh ngon, trang trí đẹp mắt có điều giá hơi nhỉnh. 
Sẽ ủng hộ đến già ahihi",5/12/2019 12:56,Bánh Tráng
5080,Buffet Hải Sản - Café Central An Đông - Khách Sạn Windsor Plaza,"😘😘😘😘
Không gian đẹp, nhân viên phục vụ chuyên nghiệp, lịch sự, đầu bếp làm nhanh ngon, nhiều món để chọn lựa, nhìn món nào cũng hấp dẫn, nhìn là muốn ăn liền, lần đầu tiên đi mà thích ghê, đúng là ks 5 sao 👍👍👍",5/02/2016 19:21,Buffet
2550,Ốc Quỳnh - Nhiêu Tứ,"Ốc ngon
Kêu 5-6 món điểm chung là tươi chất lượng. Nhiều ốc lạ. Chỗ ngồi thoáng ngoài trời , nên hơi có muỗi. Nêm nếm vừa ăn vị mặn ngọt. Giá tầm 30-50k. Vd như ngêu -30, ốc heo best seller 30k, răng mực-50k. Khá ok cho phần ăn 2 -3 người.",9/7/2020 20:33,
3297,Gà Rán Popeyes - Điện Biên Phủ,"Gà Rán Popeyes -***
Vừa đặt xong vừa ăn vừa review ngay.
Quán nằm ở đường***trung tâm quận 1. Khá rộng rãi thoáng mát. Mình hay đi ngang qua
Hôm nay có khuyến mãi nhiều trên now nên đặt ăn thử. Mình không thích gà rán lắm nhưng mà phải công nhận ở đây làm ngon. Gà sốt mắm tỏi rất vừa miệng. Ngọt ngọt cay cay. Gà giao đến còn nóng hổi. Thịt dai k bị bở, không bị khô. Hộp giấy xinh xắn dễ thương thân thiện với môi trường. Khi nào có dip sẽ đặt lại",30/8/2020 12:25,Cơm
11383,Panda BBQ - Quán Thịt Nướng Đà Lạt - Đường Số 9A,"Đi xa một chút nhưng rất đáng để thử ~~
Bạn mình dẫn đi mà lại không biết đường, làm chạy vòng vòng mấy lượt. Lúc đến quán là đã gần 10h, hên là quán còn mở cửa với cả mang đồ ăn ra siêu nhanh nên không phải đợi chờ.
Giá khá rẻ, chất lượng ổn :)",29/04/2016 9:44,Lẩu Nướng
9908,Trà Sữa Bòn Bon - Minh Phụng,"Trà Sữa Bòn Bon - Minh Phụng
Lần đầu đi uống ở trà sữa này, cũng là lần đầu biết tới một trà sữa rẻ như vậy ))) Giá mềm nhưng uống khá chất lượng 👍 
Hai đứa mình gọi một hồng trà trân châu và một trà sữa trà xanh thạch đầy đủ. Hồng trà pha khá đậm (so với giá 8k), trân châu siêu rẻ (2k/muỗng - khá nhiều). Trà sữa trà xanh mình ko thích lắm nhưng có vẻ hợp khẩu vị nhiều người. Thạch ngon, vừa giòn vừa có phô mai bên trong béo béo, ăn ko kém gì nhiều quán có giá mắc hơn nhiều lần. Phụ thu ngồi lại quán là 2k - vẫn quá rẻ đối với phòng máy lạnh, nhưng phần trang trí bèo bọt và không gian ồn ào nên mình nghĩ mua về vẫn hay hơn :)
Các khâu làm thức uống lộ thiên, cũng để trong thau xô nhưng là thau xô sạch sẽ, cả thạch làm nhìn cũng vệ sinh nên khá yên tâm với giá rẻ :))
Xem thêm",12/03/2016 23:03,
9607,Cơm Trộn 2 Cô - Xô Viết Nghệ Tĩnh,"Cơm Trộn 2 Cô - Xô Viết Nghệ Tĩnh
hôm nay mình đặt ở quán 4 món:
-cơm trùm trứng: cơm được chiên kèm với đậu hà lan, cà rốt, có vài miếng gà nữa nhen (giống cơm gà lúc lắc). thơm, ngon lắm. nhưng có điều trứng chiên trùm cơm thì mặn, bịt nước tương đi kèm là nước tương nguyên chất, k pha, nên mấy bạn nếm trước khi ăn để không bị mặn nha. mình nếm trước rồi nên mới biết là trứng chiên đã mặn sẵn và nước tương thì k pha. hộp thì bị lủng đáy do quá mỏng. lúc trước mình có góp ý quán về việc này rồi mà hình như quán không theo dõi góp ý của khách trên foodie thì phải.
-kimpap chiên giòn: ngon hết sẩy về phần kimpap và phần sốt luôn nhen.
-mì trộn tương đen: mọi bữa mình ăn thấy ngon lắm, nhưng bữa nay lạt lắm ạ. mình bản chất là ăn lạt mà mì trộn tương đen bữa nay còn lạt hơn khẩu vị mình nữa, không ngon bằng mấy bữa trước.
-trà đào 25.000: như bên ngoài bán giá 25.000 là trà đào xô luôn ấy, và do mình click vào hình trà đào lúc đặt hàng, mình thấy là trà đào xô nên mới đặt. ai dè lúc đem hàng đến thì là ly size M, hơi buồn! trà đào ngon. được 3 miếng đào
Xem thêm",28/06/2017 16:29,Cơm
9652,Dì Lan - Cacao Dừa,"Dì Lan - Cacao Dừa
🍒Thấy quán cũng có tiếng nên đi ngang ghé mua thử
15k/ly bự mình ăn hoài ăn mãi mới hết luôn. Nếu có ly nhỏ chắc ok hơn
Nên khuấy đều lên ăn chứ đừng ăn lớp ở trên dễ bị sặc
🍒Nói chung là vị ngon vừa miệng nhưng do nhiều quá nên ngán, tới giờ chưa ăn lại :))))",24/01/2019 15:07,
12308,L'Usine Restaurant - Lê Thánh Tôn,"Thuê ông nội làm bảo vệ ư?
Mình đi xe máy tới, bảo vệ chỉ thẳng vào mặt khách, rồi chỉ vào vị trí mình phải đỗ xe; không nói 1 tiếng. Chắc hôm nay cuối tuần nên CEO công ty bảo vệ điech thân đi làm cùng anh em để trải nghiệm.
5 điểm cho chất lượng ổn định; 0 điểm cho bảo vệ thiếu lịch sự.",21/10/2018 11:03,
5773,King BBQ - Vua Nướng Hàn Quốc - Cao Thắng,"King BBQ Buffet Cao Thắng
Quán ăn cực ngon, lần đầu tiên mình đi ăn buffet mà no đến như vậy :))) . Giá cả cực kì hợp lí và vừa túi tiền . Quán ăn khá thoải mái, không ồn ào, sang trọng ^^ . Điều đặc biệt mình rất thích ở quán là cách phục vụ ^^ Phục vụ rất tận tình , à không phải nói cực cực kì tận tình luôn :))) Nhân viên nói chuyện lịch sự, không có thái độ khó chịu đối với khách , mặc dù bàn mình đi đông và rất ồn ào . Thêm cái nửa là phục vụ chu đáo lắm . Đồ ăn chưa hết mà nhân viên họ đã đem món mới lên . Vỉ nướng vừa dơ cái là thay liền, trong buổi ăn của mình thay chắc cả chục cái ^^ Mình thấy quán rất tốt , mấy bạn đến trải nghiệm thử đi sẽ không uổn tiền mấy bạn bỏ ra đâu :*",16/10/2016 19:45,Lẩu Nướng
12328,L'Usine Restaurant - Lê Thánh Tôn,"L'Usine Cafe - Lê Thánh Tôn
Không gian trang trí đơn giản, đẹp. Nhân viên phục vụ tốt, nhưng chưa đc linh hoạt lắm trong việc offer món ăn cho khách. Món ăn và nước uống ổn, giá hơi mắc.",14/11/2017 11:30,Buffet
3384,Gà Rán Popeyes - Điện Biên Phủ,"Gà Rán Popeyes - Điện Biên Phủ
Thích ăn gà popeyes lắm vì khuyến mãi 1 tặng 1 thứ 4 mỗi tuần nên thấy rẻ,bình thường 36k lận,mấy bữa trước có coupon 1+1 nhiều ngày nên thời gian đi ăn thoải mái hơn thích hơn,dc refill nước thoải mái. Mê mẩn bánh trong này 9k 1 cái thôi. Quán này có vị trí đẹp nhìn ra vòng xoay ban đêm ra ban công ngồi thích lắm. Nhân viên tận tình nhanh nhẹn,tới trễ gần 10h mà để 10h đóng của mà nhân viên đón tiếp vui vẻ và để cho khách thời gian thoải mái k có ý gì khó chịu đuổi khach. Không gian xinh xắn rộng rãi",8/7/2017 14:37,Lẩu Nướng
16011,Stoker Woodfired Grill & Bar,"Bò ngon, không gian sang trọng
Steak luôn là lựa chọn số 1 khi mình chán đời. Quán ở quận 1, decor đẹp, phục vụ chu đáo",10/05/2021 8:39,Lẩu Nướng
7228,Dookki Việt Nam - Lẩu & Buffet Tokpokki - Lotte Mart Tân Bình,"Dookki***- Lẩu & Buffet Tokpokki - Lotte Mart Tân Bình
Món bình thường , đi trong tuần khá vắng , phục vụ siêu chậm , lâu ơi là lâu mới lên được món , không có gì đặt sắc , không quay lại",29/03/2022 22:15,Âu
3283,Nhà Hàng Ngon - Pasteur,"Nhà Hàng Ngon - Pasteur
Đồ ăn cũng tạm ổn, mấy món gỏi ngon và chua đủ vị, nhưng trang trí món nào món nấy nhìn không bắt mắt. Nhà hàng kín gió và ngộp, mùi đồ ăn nồng nên không thoáng. Đĩa đựng đồ ăn rửa không sạch, mình vẫn thấy tí bẩn khi bưng đồ ăn ra. Giá chỗ này khá ok, rẻ 3 người ăn tầm 5-7 món mà hết có 500k hơn. Chỗ này toàn Tây balo, chắc tại nằm trung tâm.",1/6/2016 11:32,Buffet
9139,Xôi Chiên Nhà Sushi,"Kha tốt
Tốt tuyệt vời",22/08/2023 12:42,
15054,New York Steakhouse Sài Gòn,"Khá thất vọng
Vì beefsteak làm quạ khô, nước sốt 3 loại mà loại nào cũng thiếu vị. 3.9 triệu cho 4 người không bia rượu.
Thất vọng vì nhà steakhouse mà beefsteak tệ",7/12/2014 15:08,
2561,Ốc Quỳnh - Nhiêu Tứ,"Ốc Quỳnh - Nhiêu Tứ
Mỗi phần nhỏ nhỏ, nêm nếm hơi cay nhưng đậm đà hợp vị mình. Riêng mấy món liên quan đến phô mai hay sốt trứng muối gì đó thì chế biến chưa ok lắm
Sò huyết tươi
Hàu, sò điệp ko tươi lắm 
Nghêu và sò dẹo tươi nhưng 1 số con vẫn còn cát.",3/4/2020 19:34,Âu
12159,Morico - Contemporary Japanese Lifestyle - Lê Lợi,"Ngon
Nằm ngay gần kem Bạch Đằng. Giữ xe trong hẻm chạy đến chỗ bảo vệ sẽ được hướng dẫn.
Không gian: do phía trước là công trường nên bị chắn tầm nhìn, ngồi ở tầng trệt vào buổi chiều tối ấm cúng, máy lạnh mở vừa phải. 
Nhân viên phục vụ dể thương và chu đáo lắm.
Hokkaido milk creps: bánh ngàn lớp kem vani ngon, sốt cũng ok.
Matcha sesame granita: trà xanh xay với đá và kem mè đen, có gạp nếp nhai vui vui, kem mè đen không quá ngọt.
Matcha red bean waffle: bánh tổ ong với đậu đỏ nhật và kem trà xanh cùng bột nếp, món này phải chờ xíu nhưng ngon, nên thử.
Xem thêm",26/04/2020 16:38,
10594,"Kem Tươi, Kem Chiên & Cá Viên Chiên - Nguyễn Xuân Khoát","Ăn vặt
Dạng quán vỉa hè ( có cả chỗ ngồi bên trong) rộng rãi, phục vụ rất nhanh. Đồ ăn chiên vừa tới chứ ko bị chiên kỹ như 1 số nơi khác; có chanh dây thay cho trà đá. Giá hợp lý, bữa đi 4 đứa hết 145k ( hình up còn thiếu 1 xửng bánh xếp nữa)",30/01/2016 1:50,Lẩu Nướng
4379,Bún Bò Hải Lệ,"Ngon ngonnnn
Siêu ngon vừa miệng….",30/9/2023 11:45,Bò
6094,Buffet Liberty Central Saigon Riverside,"Buffet Ngon, Vị trí đẹp
Mình đi nhóm đông người, người lớn thì lại thích đồ như cơm, các loại đồ nóng. Nhưng các món này ở đây lại quá nguội.

Hải Sản chế biến không đa dạng lắm. Ăn ngon mà hơi ngán.",10/08/2020 10:50,Âu
13292,The LOG Restaurant,"Không còn như xưa
Ghé nhà hàng sau 1 thời gian dài và thật sự chỉ nhận về nỗi thất vọng.
Không gian bị thu hẹp rất nhiều, không còn rộng rãi như xưa. Đồ ăn cũng không đa dạng. Quầy đồ ngọt, trái cây số lượng mặt món giảm đi rất nhiều.
Nhân viên vẫn nhiệt tình và lịch sự.
Với giá 3tr2 cho 2 người mình nghĩ mình sẽ có nhiều lựa chọn hơn.",30/03/2022 0:41,Lẩu Nướng
4996,Buffet Hải Sản - Café Central An Đông - Khách Sạn Windsor Plaza,"BUFFET WINDSOR PLAZA
Dịp cuối năm, công ty tổ chức tất niên ở Windsor, nhà hàng 5 sao. Lần đầu tiên mình được đến đây, không gian cũng sang trọng, rộng rãi. Tính ra mỗi người là gần 1 triệu nha, mua voucher thì còn khoảng 600 mấy.
Món ăn cũng đa dạng, mình thấy có nhìu món Thái như xôi xoài, gỏi đu đủ thái,....có súp, lẩu 1 người, cá hồi, bò lúc lắc, hải sản. Có món chay nữa nha mọi người . Nước uống thì có bia, nước ngọt, nước ép, trà sữa, trái cây, chè, bánh các loại. Mình thấy kem ở đây ngon, mịn và béo.
Mỗi khách là được 1 con tôm hùm, còn ghẹ thì ăn thoải mái nhưng phải order tại bàn là nói với nhân viên phục vụ, họ sẽ đặt và mang lên cho mình.
Còn những món khác thì mình tự đi lấy nhưng cũng phải order thì mới làm chứ ko có sẵn. Hải sản có 1 quầy riêng có tôm, ốc, hào, xiên que, nghêu, sò lụa,.....Mình cứ lựa bỏ vô dĩa và đưa qua nhân viên chế biến rồi đem lên tận bàn cho mình.
Nói chung là cũng ổn chứ ko quá xuất sắc.
Xem thêm",24/02/2021 10:12,Âu
10993,Cá Viên Chiên 176 - Đặng Văn Ngữ,"Giá rẻ
Em ăn ở đây từ hồi còn bé xíu cơ cũng lâu lâu lâu lắm lắm lắm lun r í. Giá thì vẫn k cao hơn trước bao nhiêu, ăn cũng oki nè, thích ăn dưa leo ở đây nhứt quả đất, giòn giòn mát mát đã gì đâu. Đi 2 người mà tụi e lỡ ăn no con mắt nên lết về mún xĩu :D giá rẻ nên hợp túi tiền sinh viên. Giữ xe free nên cũng ok, bị cái ăn hơi dầu, nếu lót thêm giấy thấm dầu thì ok hơn ak mà thôi giá rẻ mà nên vậy là ổn roài, cuối tháng hết tiền thì đây là nơi lý tưởng kkk",1/12/2017 22:49,
