,STORE_NAME,DATE,DATETIME,CATEGORY,REVIEW_RAW
10,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,10/2017,30/10/2017 10:22,Âu,"U.BBQ - Nhà Hàng Buffet Nướng & Lẩu
Chưa bao giờ đi ăn mà cảm thấy ấn tượng nhất ở cái chỗ này: 
-Đồ ăn rất nhiều món phong phú, hải sản thì rất tươi sống. 
-Nhân viên phục vụ nhiệt tình, dễ thương, chu đáo. Nhân viên thường xuyên để ý để thay vỉ cho khách.
-Ăn đồ nướng ngon gì có rau đi kèm, ăn cho đỡ ngán. 
-Gía cả và chất lượng thì rất tuyệt vời
Sẽ quay lại là chắc chắn."
11,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,10/2017,14/10/2017 18:26,Âu,"U.BBQ - Nhà Hàng Buffet Nướng & Lẩu
Ô, mới phát hiện ra được chỗ ăn buffet đồ nướng giá bình dân cực kì ha, thích hợp cho mấy bạn học sinh - sinh viên lắm luôn á. 200k thôi mà có tùm lum món. Trước hết điểm cộng của quán phải kể đến không gian rất rộng rãi, đừng vì thấy quán đông khách mà bỏ qua nhé, nếu không thì bạn sẽ mất đi cơ hội thưởng thức những món ăn ngon của Chú Tèo đấy nhé. Nguyên liệu ở đây đa dạng phong phú, được tuyển chọn kỹ lưỡng, chú trọng trong tất cả các khâu chế biến. Nào là ốc các loại, thịt được ướp cũng khá ngon, nấm, đậu bắp, rau, cùng các món ăn kèm linh tinh. Nhưng quán chưa có đặc trưng riêng"
12,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,02/2018,26/02/2018 16:20,Âu,"U.BBQ - Nhà Hàng Buffet Nướng và Lẩu
Nghe nói đến nhà hàng UBBQ lâu rồi mình mới có dịp ghé quán. Mình thấy không gian quán thoáng, đẹp, dễ chịu, không cảm thấy ngột ngạt khi khách đông. Nhà hàng nằm trên mặt đường Phạm Văn Đồng nên rất dễ tìm thấy. Ở nhà hàng có nhiều mức giá buffet khác nhau 119k, 169k( buffet có lẩu), 199k. Mình đi cùng bạn bè nên mình chọn vé 199k vì combo mình được uống các loại bia, nước ngọt và các loại nước ép thoải mái không giới hạn luôn, có thức ăn trên line cho mình tự chọn và trong menu có thêm các món như hàu, tôm, mực, thịt nhím nữa nên mình thấy rất thích, tráng miệng cũng có đa dạng như chè, kem và các loại trái cây nữa. Có cái bàn ghê hơi bụi nhưng khi đến gọi các bạn phục vụ lau giúp. Có dịp sẽ đến quán ủng hộ
Xem thêm"
13,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,06/2018,29/06/2018 22:07,Âu,"Quá dơ và quá dở
Mình đi 2 người gọi combo 169k, lúc có bao gồm món mực nướng nhưng nhân viên bảo chỉ có bạch tuộc k có mực. Lúc mình mua vé 169k thì k báo hết lẩu, đến lúc mình gọi lẩu thì bảo hết rồi. Rất nhiều món ghi trong thực đơn nhưng k hề có trên chuyền. Múc một miếng súp cua về bàn ăn thử thì lạnh tanh. Đồ ăn gọi riêng trong combo 169k vd tôm nướng muối ớt mang ra đc 3 con bé tí ti, nướng ra thì lặt lìa k tươi gì cả. Món nào cũng dở, có duy món ba rọi cuộn kim châm thì tàm tạm.
Bát đũa dơ trơn trơn vì rửa chưa sạch, lấy khăn giấy lau thì đc 1 lớp bụi đen rõ. Nói chung vừa dơ vừa dở. Mọi người không nên đến ăn tránh tiền mất tật mang.
Quá bức xúc vì tổng bill cũng hết 460K mà quá tệ!!!
Xem thêm"
14,Thiên Du & Sky Sushi - Trần Hưng Đạo,09/2017,11/9/2017 19:23,Âu,"Thiên Du & Sky Sushi - Trần Hưng Đạo
Lẩu Sukizaki của Nhật nước dùng ngon đậm đà ăn chung với bò Mỹ,mình thích bò Mỹ vì ăn vào không bị tanh mùi bò như bò VN và mềm hơn bò Úc,vị giác mình nhại nên rất sợ mùi bò mà ăn bò ở đây nghe mùi béo thơm chứ không tanh.Giá vậy minh thấy cũng hợp lý tầm 2 trăm mấy cho cả một set lẩu gồm có thịt rau và mì,dĩa bò cũng nhiều mình đi 2 người ăn cái lẩu với kem tráng miệng (cái này quán tặng) là quá no luôn không ăn nổi món khác nữa.
Phục vụ nhiệt tình vui vẻ,không gian thoáng mát."
15,The Square - Novotel Saigon Centre,08/2017,22/08/2017 9:00,Âu,"Tối cn buffet tôm hùm
Đồ ăn khá ổn, mà tôm hùm hơi bị cháy :), mấy bé phục vụ dễ thương, thích ở đây cách phục vụ, không gian ok, đồ ăn thì cũng tương đối ok rồi."
16,The Square - Novotel Saigon Centre,12/2013,10/12/2013 19:04,Âu,"Sang trọng, lịch sự và cũng khá ok
Đi ăn với nhóm bạn tại đây, món ăn khá ngon, steak mềm vừa ăn, thức ăn trang trí cũng bắt mắt làm vị giác cũng được tăng thêm
Không gian ở đây sang trọng, lịch sự. Buffet cũng khá. mình thích ở đây vì mở đèn sáng sủa, mình thích, ăn ở 1 số nhà hàng khách cứ tối thui, nhìn ngộp ngộp"
17,The Square - Novotel Saigon Centre,04/2018,2/04/2018 13:10,Âu,"Novotel Saigon Centre
Chỗ dễ tìm, chỗ gửi xe rộng rãi, tuy nhiên không gian bên trong không được sang trọng lắm. Buffet ở đâu đa dạng đầy đủ đa phần mà món Âu, kimchi ở đây thì quá mặn, các loại rau trộn cũng hơi mặn 1 chút,Cá hồi tươi mềm. Hải sản có hàu và tôm tươi và to."
18,The Square - Novotel Saigon Centre,08/2016,10/08/2016 18:50,Âu,"Buffet trưa
Lần đầu tiên ăn buffet trưa ở đây. Lần này ăn thấy cũng ok, thức ăn phong phú hơn buffet trưa ở pullman dù giá chênh nhau có xíu xiu. Có sashimi cá hồi, cá ngừ, có quầy chế biến theo yêu cầu: chem chép, cá chẽm, bò, bạch tuộc...thịt dê, gà quay...

Món nấu sẵn và quầy salad - gỏi phong phú, hấp dẫn. 
Hào tươi, có tôm luộc như các nơi khác nhưng mình ko ăn tôm nên ko nhận xét :))

Súp kem nấm dở xúc phạm người ăn, nấu đặc mà xay nấm lổn nhổn, ăn ớn xỉu lun. 
Tráng miệng bánh ngọt phong phú, nhiều loại quá ngọt nhưng có vài loại ăn ngon như pannacotta chanh dây, cheesecake trà xanh rất ngon. 
Kem dừa, kem dâu dạng ks tự làm ăn rất ngon, kem cam chua quá. 

Nhân viên chăm dọn dĩa, lịch sự nhưng lúc đi ra thấy đang họp nv, chị j chắc quản lý lớn tiếng la, hơi hãi😱.
Buổi trưa ngồi kế kính, dòm ra có cây xanh, nhìn dễ chịu mát mắt. Nói chung là 1 bữa trưa phong phú thoải mái và với thành viên accor như mình lại càng dễ chịu vì đi 2 ng tính tiền có 1 ng thôi :))

À có lúc đầu, đợi chạy xe xún hầm mà nv trên gọi bộ đàm cho nv dưới để hỏi cho xe xún dc chưa ( phải đợi dứơi chặn xe máy đi lên vì lối xúông hầm ko đi đựơc phải đi bên lối lên) mẹ ơi đợi cả buổi trời, gọi bộ đàm hoài ko ai trả lời🙄 ks 4 sao mà cập rập thiếu chuyên nghiệp quớ😪
Xem thêm"
19,The Square - Novotel Saigon Centre,06/2016,14/06/2016 16:20,Âu,"The Square - Novotel Saigon Centre
Thức ăn ngon nhưng ko đa dạng lắm; buffet trưa không có hải sản nhiều (chỉ có cá), có thịt cừu ngon. Tráng miệng ngon, phong phú."
20,The Square - Novotel Saigon Centre,08/2017,20/08/2017 8:48,Âu,"The Square - Novotel Saigon Centre
Suất này và suất buffet sáng, mình k rõ là bao nhiêu.
Đồ ăn thì mình thấy khá là ngon, tuy nhiên vẫn còn hạn chế sự lựa chọn. Nước thì không có nước ép chỉ có bình nước mát có một lớp trái cây ở bên trên. Quầy bánh ngọt đa dạng, mình đang kiêng kem nên cũng k dám ăn nhiều nhưng bánh thơm ngon và mềm lắm. Vedette với mình hẳn là món cá hồi sống vì mình ghiền sashimi kinh khủng. Không gian cũng okay thoải mái sang trọng, cơ mà nhìn ra bên ngoài thì view k đặc sắc lắm. Duyệt lại lần nữa vì món cá hồi béo mềm <3"
21,The Square - Novotel Saigon Centre,10/2014,5/10/2014 23:20,Âu,"The Square Buffet - Novotel
Điểm cộng: không gian sang trọng,món ăn phong phú. Nhất là các móm tráng miệng,không chê vào đâu được.
Điểm trừ: hải sản không có gì đặc biệt. Shushi quá thất vọng :("
22,The Square - Novotel Saigon Centre,06/2015,5/06/2015 6:05,Âu,"Chất lượng!
Khách hàng thường xuyên ở đây vì gd mình có thẻ hội viên Accor nên mỗi lần ăn buffet thì được discount 50% lận. Thức ăn ổn và chất lượng. Với giá net tầm 550k có cả cá hồi, tôn, hào, cá ngừ v.v. Thích nhất là quầy bánh ngọt bên đây vì có rất nhiều lựa chọn
Phục vụ dễ thương nhanh lẹ lắm
Khung cảnh kg gian thì khỏi chê luôn"
23,The Square - Novotel Saigon Centre,08/2018,13/08/2018 15:23,Âu,"Tuyệt
Buffet có hải sản xuất sắc về độ ngon, tươi, đa dạng
Buffet khoảng 50-70 món cụ thể
Từ món khai vị, chính đến dessert đều tuyệt, trải nghiệm rất đặc biệt và sang trọng, xứng đáng giá tiền cho buffet.
Hàu, tôm hùm, cua, cá chẽm và các loại cá cao cấp khác nướng tại chỗ
Các món nướng khác, Sushi,các loại bánh đều rất ngon, nguyên liệu tươi sống
Nhà hàng có nhiều góc chụp đẹp hơn trong hình.
Nhân viên chuyên nghiệp và tận tình
Không gian bài trí sáng, rộng và thiết kế hiện đại. Cũng có khách trên khách sạn xuống nên đôi khi hơi casual.
Xem thêm"
24,The Square - Novotel Saigon Centre,06/2014,2/06/2014 23:15,Âu,"The Square Buffet - Novotel
Hôm nay đến đây ăn buffet mình thấy không gian thì khỏi chê rồi, rất sang trọng, phục vụ tậnt tình. Đồ ăn thì khá ok nhưng ko đa dạng. Có vẻ tuỳ ngày hay sao á chứ hôm trước đến sushi nhiều loại lắm. Còn hôm nay chỉ có 1 loại duy nhất thôi. Tráng miệng ở đây hoành tráng khỏi phải nói luôn. Mới bước vô là bước đến quầy bánh trước tiên vì đẹp quá. Ở đây hải sản rất tươi, có tôm và ghẹ. Đồ ăn chính thì ko nhiều món lắm."
25,The LOG Restaurant,04/2018,27/04/2018 15:17,Âu,"The LOG Restaurant
- Món ăn: đa dạng, ngon khá chất lượng từ hải sản đến sashimi, sushi, tôm hùm, tráng miệng,...
- Không gian: riêng tư, khá yên tĩnh, trang trí đẹp đèn tối mờ mờ ảo ảo :))
- Nhân viên: ổn, liên tục cất dọn dĩa + châm thêm nước
- Vị trí: ngay trong Gem center
- Giá cả đi đôi với chất lượng vì giá khá mắc :))"
26,The LOG Restaurant,07/2018,18/07/2018 14:44,Âu,"Lung linh - Ngon
1/ Không Gian : gemcenter ai cũng biết rồi, đẹp từ cái bước chân đầu tiên vào cửa, lên lầu 7 và fai lếch bộ thêm 1 tầng thang bộ mới tới, nơi đây đã dẹp mất mấy cái lồng chim, nơi để mọi người sống ảo đã ko còn, bên trong thelog mới sửa lại, lung linh ánh đèn, vườn vẫn có máy lạnh, không gian rất đẹp
2/ NV : luôn cười, luôn dọn chén dĩa tới tấp, luôn nhiệt tình hỏi khách muốn dùng thêm gì, luôn đứng 1 nơi quan sát khách xem có iu cầu j chứ ko đi tung lung để mình đợi
3/Chất lượng : vào là thử liền vị của tôm hùm trước, vẫn là làm chín xong ướp lạnh quệt vị lên nướng sơ lại cho nóng, nhưng dc cái cũng tươi, vị của nó phù hợp với người châu á, chân cua Tuyết ăn củng dc, như thịt ghẹ, nhưng ko còn tươi, vỏ đã mềm, trên Line thiếu Sò Mai
4/ Bố Trí food : line thức ăn ko dc tinh tế như xưa,hải sản tươi sống phân 2 dãy riêng, hải sản ko dc sắp xếp 1 cách gọn gàng và đep như xưa mà jo đã đổ đại lên khay đá,ngay cả khay đá cũng ko đẹp,bánh ngọt quá ít lựa chọn, kem thì nhìu, đi hết cả vòng Line Food , chỉ chụp dc 1 tấm tủ kem, còn lại ko dám bấm máy vì nhìn food để lộn xộn, ko đẹp và nhìn ko xứng tầm đẳng cấp của 1 buffet có SAO
5/Giá : + VAT + Phí PV 1tr4/ vé
6/đón taxi cực lâu, khuyên mn nên book grap cho lẹ
P/s : so sánh tý xíu 
Nikko bày trí line food tinh tế ,đa dạng hơn, không gian hiện đại, 1tr4 có rượu
The log mùi vị ngon hơn, ko đa dạng, không gian siêu lung linh, 1tr4 ko có rượu
Đôi chút góp ý cho mọi người tham khảo
Xem thêm"
27,The LOG Restaurant,05/2019,22/05/2019 0:35,Âu,"Khá ổn
Không gian đẹp không thể chê vào đâu được
Nhân viên phục vụ ok nhưng hơi khó chịu khi khách xin đổi bàn mà cũng không sao tại vì này công ty đặt cho nên đã sắp xếp sẵn
Thức ăn hải sản không phải tươi lắm nhưng cũng ok rồi cua và tôm hùm thì khi muốn ăn bạn phải tới quầy order nhé . 
Nhìn chung những món khai vị ăn khá là ngon và vừa miệng chỉ có món súp cá hồi hơi mặn 1 tí thou .
Tráng miẹng bày và trang trí khá đẹp mình không hảo ngọt nen chỉ chụp ké thôi chỉ ăn duy nhất em đậu hũ quá là ngon lun mịn mịn và ko ngọt gắt lắm .
Sushi tạm ổn không ngon bằng ăn ở bên ngoài . 
Và đặc biệt là pate gan gà ở đây thật sự rất ngon béo mịn ăn chug với tí bánh mì 😅😅😅😅 
Có thể sẽ quay lại đây so với nhữg buffee cap cấp khác thì the log chất lượng thức ăn và giá tiền này là khá ổn rồi
Xem thêm"
28,The LOG Restaurant,11/2017,9/11/2017 10:05,Âu,"Last Night
Nghe mọi người khen The Log nên cả gia đình mình đi ăn thử. Một số nhận xét sau:
Không gian: ấm cúng, yên tĩnh (bản thân mình ko thích nhà hàng quá ồn ào, không nói chuyện dc nên minh thích không gian ở đây)
Món ăn: hương vị khá ngon garnishing khá bắt mắt, mình ắn tượng với foie gras và beef wellington, dessert thì ko đặc sắc lắm (ý kiến riêng của minh)
Giá so với fine dining concept thì giá như vậy là trung bình, nhưng tất nhiên sẽ cao hơn giá so với nhà hang casual dining 
Tóm lại mình vừa ý với bữa dinner, sẽ quay lại thử buffet
Xem thêm"
29,The LOG Restaurant,02/2019,9/02/2019 16:44,Âu,"Buffe The Log
Không gian vẫn sang trọng, nhạc nhẹ du dương. Mình dùng gói buffe ( không rượu vang) kèm thuế phí là 1449k 1 người
Nhân viên: lịch sự thân thiện nhẹ nhàng
Thức ăn: không được đa dạng lắm. Hải sản nhiều loại nhưng chi chế biến nướng thì có vẻ khô và hơi mặn 😂
Chỉ tạm được chứ chưa phải gọi là xuất sắc"
30,The LOG Restaurant,08/2019,2/08/2019 12:51,Âu,"Tạm ổn !
Tháng 7 vừa rồi có dịp ghé the Log. Không gian ở đây đẹp & ấm cúng. Nhân viên nhiệt tình & lịch sự. Nhưng đồ ăn chưa xứng tầm 5*. 
Ở đây chỉ ăn đc mỗi tôm hùm nhưng tôm lại khô và ko tươi vì đã làm chín sẵn, thịt tôm ko đc ngọt.
Cua - gọi là cua thịt nhưng lại ko có thịt - cũng giống như Hào- mình ko ăn đc dù 1 con :(( 
Còn cá hồi, cá ngừ & sushi cảm giác ko đc tươi.
BBQ nói chung tạm ổn, còn nhiều món á âu & tráng miệng đa dạng nhưng mình ko quan tâm lắm mấy món đấy.
Nói chung thất vọng về sự tươi ngon của 1 nhà hàng gọi là 5* nhưng bù lại tổng thể mình đã có 1 buổi tối lãng mạng tại đây.
Xem thêm"
31,The LOG Restaurant,01/2018,1/01/2018 15:01,Âu,"Đẹp
Nếu dùng 1 từ để tả the log , mình sẽ dùng từ đẹp. Không gian sang trọng , đẳng cấp. Nếu trời mát nên ngồi ngoài vườn , vừa yên tĩnh , vừa lãng mạn. Đồ ăn không phong phú lắm , không đa dạng , hải sản không tươi lắm. Nhân viên cũng dễ thương."
32,The LOG Restaurant,09/2018,17/09/2018 11:08,Âu,"The LOG Restaurant
Mình thấy hơi ít món, tôm hùm nướng phô mai có sốt phô mai ko ngon lắm.
Mình chỉ thấy quầy bò rồi beef wellington là ngon thôi.
Với lại được ăn sashimi cá hồi thỏa thích nạ ^^
Tráng miệng có món đậu hũ ngon thần sầu. Kem trái cây cũng ngon, chủ yếu là trái cây nên không sợ mặp."
33,The LOG Restaurant,12/2017,11/12/2017 15:39,Âu,"Cũng ổn
Cá nhân mình vào đây chủ yếu ăn tôm hùm hihi các món khác ăn vừa miệng lắm, nhưng lần mình ghé thì cua luộc không được chắc thịt lắm và cua không có thịt nhiều. Mình nghĩ với giá tiền mình bỏ ra thì cua phải ngon hơn nhiều lần chứ huhu về không gian và chất lượng phục vụ thì okay rồi còn có quay lại không thì chưa rõ ạ"
